customer_id,target_monthly_spend,fold_id,oof_prediction
75570383,573.78,1,467.75725406803997
77915507,103.15,0,203.22073563244604
31958910,297.28,3,718.7709367940654
76868487,353.81,2,541.2882236415412
69435006,392.83,0,494.1668690879327
77839435,729.68,3,786.2926937364493
48477656,232.55,1,373.89294275253735
35650259,343.17,0,503.8138413058782
52835676,278.63,1,207.46406696528965
94747661,100.0,4,289.5694075765832
86721650,601.09,3,404.47183696703934
13990016,241.79,3,226.87514896750187
52181606,579.11,3,777.0875753548357
55031862,100.0,0,100.0
63458545,132.64,3,149.86898882762495
70077133,280.2,3,237.00992659958058
94797989,100.0,4,100.0
11861113,130.48,1,253.61013588807887
71300790,100.0,2,100.0
56912274,100.0,2,144.0264235353796
69361118,538.62,3,294.0831656134881
58527003,100.0,4,309.43192495509385
78621389,250.92,3,121.43892599569773
95531820,134.59,0,506.5736561984719
64980163,100.0,2,100.0
51770731,1228.82,2,1205.3249089839546
63600010,100.0,3,138.71634209713528
29680959,100.0,3,100.0
77254126,879.47,4,876.8302805212239
64268951,248.5,2,147.6685468097254
95460983,966.87,1,919.1509761196555
64345143,359.28,2,184.81263297150178
52560459,100.0,3,100.0
67522325,100.59,1,143.17322075940262
47501584,100.0,0,100.0
87983467,100.0,1,100.0
87404131,272.42,3,267.5974333443396
75471595,385.88,3,512.9377665050486
42131372,100.0,3,258.4560745311635
37786340,445.08,3,231.97066708549193
26532649,100.0,0,214.15735656445923
16428210,412.28,2,615.3763312137764
34168928,100.0,2,100.0
78990863,227.38,1,401.5950908000139
78006645,479.47,2,472.99718107554526
12605714,100.0,3,122.37836848356147
51442746,328.49,1,302.2402711222178
48588939,100.0,2,100.0
46824260,244.74,4,455.5560736728156
48441046,560.87,1,563.6058277164467
96319123,100.0,2,100.0
53707476,1349.93,3,909.1246760598245
61720637,100.0,0,100.0
83555331,100.0,0,100.0
89361748,315.25,2,590.1070586770127
77759109,680.51,4,679.8825251142666
44371592,428.94,3,567.2139897781931
26610817,1935.7,2,1552.7021430000723
13069781,198.95,2,162.7718224859281
74898724,3520.63,2,2256.5798894426784
97917718,100.0,4,103.85593733721481
94674668,100.0,0,100.0
98344221,595.31,2,470.0505465732502
95493941,527.95,1,567.1209436308634
20408310,100.0,3,100.0
35204750,100.0,3,240.97626904821107
32991669,401.8,4,273.0813234414507
15451514,100.0,4,297.51827413171924
99875046,2162.23,2,1688.2398611558851
34442521,305.4,0,469.36509500140363
22536188,100.0,0,100.0
16752709,686.5,3,866.2205426603989
41318787,100.0,2,100.0
17058618,100.0,3,228.46086987285526
30606165,100.0,4,161.0084329834197
90260929,357.33,0,504.9120329277331
40797781,1182.91,3,826.2504030669567
66533040,100.0,4,100.0
83798402,100.0,4,100.0
57786859,100.0,3,100.0
60845249,873.16,3,827.9469352340767
25516818,100.0,3,271.0793117731429
28467373,153.57,4,100.0
60197659,100.0,0,100.0
46128578,100.0,3,100.0
73079625,100.0,1,100.0
65184780,100.0,0,475.16331612707665
63074353,486.12,2,140.7606485621355
36445132,851.45,1,704.4300838042997
32670859,292.69,0,163.36442833048312
33261871,331.9,0,334.64584904862386
12832356,568.78,2,717.2369822243991
39048050,100.0,0,258.7660487830807
99269359,198.28,3,272.6788059865858
82922399,345.24,3,233.62746282411672
16983642,454.89,2,534.5872299706296
64173363,1303.96,0,1089.0399854023003
16749387,100.0,4,100.0
22569697,100.0,0,127.41961705140312
61702023,2995.56,1,1840.2182412302716
76328458,657.85,1,455.9499431352847
56996264,100.0,1,100.0
67560501,100.0,2,204.78160408564275
46719783,100.0,1,100.0
58941638,194.54,4,168.60563529960643
91121324,100.0,4,262.43833517076826
64598861,141.02,3,201.56600295286404
14128906,100.0,3,100.0
45574662,738.55,3,435.9001125446042
65701641,100.0,0,211.1742090745053
34482067,775.2,1,718.0574911907191
24006455,123.17,3,252.29554224608964
46214063,227.14,4,247.02647782976766
57124666,100.0,2,100.0
33438799,1401.06,2,1370.4284260072889
17324698,227.7,2,117.99607689357879
10497577,100.0,0,100.0
23280076,352.24,4,419.7795035955284
14294164,2394.66,2,1889.4140023955697
60009998,109.84,0,288.28889341190694
91246088,1480.61,0,1195.63494922774
69483038,100.0,1,162.59250911945117
34495985,100.0,0,100.0
33585716,438.52,2,348.60307202208537
94531671,100.0,1,100.0
44073582,100.0,4,196.99415994744487
14399198,1150.6,4,1886.989422768153
98703987,785.3,1,636.4200450993408
16300570,534.81,0,398.9686663364936
12653630,544.38,2,458.1371249875484
36286308,100.0,0,137.5479739551684
69872507,100.0,3,282.5302740458583
78019997,100.0,4,100.0
73507413,100.0,1,891.3497388838089
26035116,100.0,0,100.0
42138533,292.96,2,488.3764215963963
87173649,307.73,4,412.50249425738514
58565713,182.44,1,178.35208579030865
15892422,513.72,4,691.6446393810464
40468256,195.49,0,281.45678927237543
83382930,359.96,1,429.930494657669
95599299,100.0,4,100.0
28574111,100.0,1,285.5554324471541
15749262,100.0,4,175.57806794433978
27592965,100.0,0,100.0
93156830,100.0,4,100.0
78172959,100.0,2,200.1866420587006
61779394,103.64,1,203.13682121347117
90929111,743.49,3,597.3786295578388
73961513,533.29,3,1598.5644690119907
73953693,248.6,1,369.4170446426941
91869235,1155.58,3,823.3419462248075
83019302,100.0,2,100.0
73993115,100.0,4,287.75980690460716
35728851,794.61,2,744.4259624503036
56633814,100.0,4,100.0
51314768,690.41,1,794.1251412974875
51472310,100.0,3,100.0
36578566,100.0,3,100.0
21918434,145.14,4,456.3027816372995
54116135,100.0,2,351.2934183185873
69697340,1456.44,4,1642.0781675463945
13289965,100.0,4,378.0745663047944
45062283,486.05,4,374.88763677643664
86379029,100.0,2,167.35744203820846
80377909,134.65,0,186.56837719001214
87210363,234.98,2,301.95353112721824
34118905,723.29,1,966.7109940809826
77513350,100.0,2,334.4037034091333
12591547,100.0,2,192.70274615331846
96280992,344.26,2,221.68938777075195
14493640,2691.83,3,100.0
69304391,100.0,1,584.473571234766
76737539,100.0,1,100.0
17366709,554.06,4,507.2827908051687
40202689,170.5,2,307.1176175947553
23764007,100.0,1,209.3436070376338
42552399,100.0,1,250.4249870797799
62626162,990.93,4,726.3644596515202
91939282,625.29,3,430.3446810572453
89071183,100.0,0,139.4777409782099
13724186,554.74,0,582.118867757478
26187750,100.0,1,100.0
92219224,100.0,3,100.0
12752936,442.65,2,403.83449294592276
92018823,693.81,2,696.3430338151923
51584334,116.41,0,479.2355322435716
59853584,878.42,0,605.0730582981158
12518916,100.0,1,100.0
67043640,427.42,4,427.7215943762208
65185825,588.82,4,462.99813098313984
38662951,700.06,4,585.879754344493
77473407,100.0,4,100.0
51221012,100.0,4,146.61224236307623
76649249,100.0,0,112.55295224593021
85310427,100.0,3,245.76059262695213
16487714,100.0,0,100.0
44215644,716.53,4,511.6115402897858
85419147,453.64,0,635.1792411345391
34859563,100.0,1,100.0
48738780,100.0,0,175.79665755445805
39817262,663.69,2,505.2853582027504
38540355,206.35,1,273.08781950729815
96382806,121.76,4,401.8747698601712
26774388,100.0,1,455.587957239223
64745501,100.0,2,195.42024980691536
68398063,744.75,4,747.3404915207791
72108534,1172.76,4,1028.7595822944868
52289104,475.09,1,257.04889138123485
78843781,359.13,3,435.8828406843157
74494245,300.34,0,388.47588692530337
48554049,256.48,4,189.1223063203097
38743530,100.0,0,100.0
76605535,418.62,1,576.9669599132667
34218267,195.33,1,223.3076283092459
86644490,226.76,4,457.19148310023996
