customer_id,target_monthly_spend,fold_id,oof_prediction
75570383,573.78,1,345.93825687325807
77915507,103.15,0,119.30390490593535
31958910,297.28,3,394.6566025412819
76868487,353.81,2,537.9647339963433
69435006,392.83,0,377.59986118025216
77839435,729.68,3,657.0294610635164
48477656,232.55,1,292.18962411109555
35650259,343.17,0,417.8899930747708
52835676,278.63,1,182.9649054958298
94747661,100.0,4,107.28358864310314
86721650,601.09,3,523.8274039339366
13990016,241.79,3,194.4900826019357
52181606,579.11,3,787.7854221250269
55031862,100.0,0,117.75781295107772
63458545,132.64,3,123.51311339149278
70077133,280.2,3,223.96499650324742
94797989,100.0,4,100.0
11861113,130.48,1,209.82494362213708
71300790,100.0,2,100.0
56912274,100.0,2,115.12538394240148
69361118,538.62,3,260.46565656775834
58527003,100.0,4,239.73287029102926
78621389,250.92,3,179.19707836397396
95531820,134.59,0,245.47654275434724
64980163,100.0,2,131.92383261432514
51770731,1228.82,2,1059.794786221665
63600010,100.0,3,120.6579512587139
29680959,100.0,3,109.11335773606501
77254126,879.47,4,920.1356722758975
64268951,248.5,2,168.11949750962566
95460983,966.87,1,1167.490444596631
64345143,359.28,2,309.1196573307733
52560459,100.0,3,101.07133557153875
67522325,100.59,1,128.22540429020125
47501584,100.0,0,100.0
87983467,100.0,1,108.0880509563431
87404131,272.42,3,217.9822207588976
75471595,385.88,3,546.2137041767115
42131372,100.0,3,210.98834837134376
37786340,445.08,3,336.73894377608076
26532649,100.0,0,187.23151870466177
16428210,412.28,2,521.8758349386845
34168928,100.0,2,101.74142698594028
78990863,227.38,1,237.94378501812082
78006645,479.47,2,541.5712208760652
12605714,100.0,3,128.99010650174517
51442746,328.49,1,383.5344616644885
48588939,100.0,2,100.0
46824260,244.74,4,343.5414000991846
48441046,560.87,1,677.0141852008705
96319123,100.0,2,113.79787816082303
53707476,1349.93,3,1460.9529778338622
61720637,100.0,0,103.44578502071982
83555331,100.0,0,100.0
89361748,315.25,2,301.79779651106395
77759109,680.51,4,725.094371540301
44371592,428.94,3,417.35324727349547
26610817,1935.7,2,2147.8303161117283
13069781,198.95,2,150.01798140796438
74898724,3520.63,2,3498.9733413274184
97917718,100.0,4,100.0
94674668,100.0,0,100.0
98344221,595.31,2,499.66803377061376
95493941,527.95,1,543.6849098740271
20408310,100.0,3,100.0
35204750,100.0,3,100.0
32991669,401.8,4,344.35099563980356
15451514,100.0,4,139.99567283756747
99875046,2162.23,2,2070.979136403446
34442521,305.4,0,351.2209588885085
22536188,100.0,0,126.24860199912632
16752709,686.5,3,426.14698482386297
41318787,100.0,2,128.08056143281357
17058618,100.0,3,107.46440292087607
30606165,100.0,4,281.5808057379555
90260929,357.33,0,140.83072815959267
40797781,1182.91,3,1123.2299038085473
66533040,100.0,4,105.27029561575118
83798402,100.0,4,100.0
57786859,100.0,3,100.0
60845249,873.16,3,1012.0439649876429
25516818,100.0,3,111.05860120545853
28467373,153.57,4,130.01174255215594
60197659,100.0,0,100.0
46128578,100.0,3,100.0
73079625,100.0,1,118.02786919770658
65184780,100.0,0,270.4602581188023
63074353,486.12,2,242.4794895005491
36445132,851.45,1,763.6652168398437
32670859,292.69,0,207.74135756349716
33261871,331.9,0,303.0635078311348
12832356,568.78,2,742.9312435427298
39048050,100.0,0,100.87210550682516
99269359,198.28,3,215.35899126648752
82922399,345.24,3,297.5036526522788
16983642,454.89,2,572.6262599985039
64173363,1303.96,0,1253.0272443982185
16749387,100.0,4,102.49123170529155
22569697,100.0,0,163.65622360647527
61702023,2995.56,1,2742.5590025022852
76328458,657.85,1,509.77554755963246
56996264,100.0,1,100.0
67560501,100.0,2,129.10026140451345
46719783,100.0,1,100.0
58941638,194.54,4,225.1103503582333
91121324,100.0,4,144.28006112332469
64598861,141.02,3,132.46214447612755
14128906,100.0,3,115.81924579944375
45574662,738.55,3,563.7494189914415
