customer_id,target_monthly_spend,fold_id,oof_prediction
75570383,573.78,1,315.0036160080554
77915507,103.15,0,155.27117414248409
31958910,297.28,3,529.6101628432224
76868487,353.81,2,565.4472361796329
69435006,392.83,0,424.87642854939384
77839435,729.68,3,676.2663177148171
48477656,232.55,1,294.647382470556
35650259,343.17,0,386.47372262120473
52835676,278.63,1,167.23978616342538
94747661,100.0,4,100.0
86721650,601.09,3,552.8623210392715
13990016,241.79,3,207.29592277438832
52181606,579.11,3,839.8365462708227
55031862,100.0,0,122.28399187314118
63458545,132.64,3,151.4246486955251
70077133,280.2,3,222.77440737277186
94797989,100.0,4,100.0
11861113,130.48,1,174.9476765952076
71300790,100.0,2,100.0
56912274,100.0,2,143.2254315972512
69361118,538.62,3,333.14804147525194
58527003,100.0,4,201.3479063636187
78621389,250.92,3,158.78113380704562
95531820,134.59,0,299.98393386358856
64980163,100.0,2,142.15612635532128
51770731,1228.82,2,1144.3684717704966
63600010,100.0,3,245.5051980951487
29680959,100.0,3,114.16988709876317
77254126,879.47,4,984.3079878116762
64268951,248.5,2,132.42146464425196
95460983,966.87,1,1055.7565417126361
64345143,359.28,2,235.1739732791041
52560459,100.0,3,100.0
67522325,100.59,1,144.96704379026653
47501584,100.0,0,100.0
87983467,100.0,1,100.0
87404131,272.42,3,180.72443254979447
75471595,385.88,3,450.21337236136253
42131372,100.0,3,226.28521277367417
37786340,445.08,3,382.4710936284412
26532649,100.0,0,169.81150055337937
16428210,412.28,2,481.5641319127026
34168928,100.0,2,107.65307418679262
78990863,227.38,1,336.19557985370466
78006645,479.47,2,345.90238054583716
12605714,100.0,3,121.2569637222191
51442746,328.49,1,329.7823436918753
48588939,100.0,2,100.0
46824260,244.74,4,442.2578917042981
48441046,560.87,1,463.95825953119436
96319123,100.0,2,103.62327299577441
53707476,1349.93,3,881.8541000980179
61720637,100.0,0,114.17799479265041
83555331,100.0,0,100.0
89361748,315.25,2,302.61032179164175
77759109,680.51,4,614.4776031504788
44371592,428.94,3,516.3283073539044
